pSP_CUSIP,pSP_EXCHANGE,pSP_TICKER,pSP_DATE,pSP_VOLUME,pSP_OPEN,pSP_HIGH,pSP_LOW,pSP_CLOSE
013817101,"N     ","AA    ",1996-12-24,426400,15.5,15.5625,15.4062,15.4688
013817101,"N     ","AA    ",1996-12-26,1195600,15.5,15.625,15.4688,15.5625
013817101,"N     ","AA    ",1996-12-27,689200,15.625,15.6875,15.5,15.5625
013817101,"N     ","AA    ",1996-12-30,1973600,15.5625,15.9375,15.5625,15.8125
013817101,"N     ","AA    ",1996-12-31,2465200,15.8125,15.9375,15.6875,15.9375
013817101,"N     ","AA    ",1997-01-02,3691600,16.125,16.375,16.0625,16.2812
013817101,"N     ","AA    ",1997-01-03,6053200,16.4688,17.0312,16.3438,17
013817101,"N     ","AA    ",1997-01-06,9551600,17.0312,17.375,16.9375,16.9688
013817101,"N     ","AA    ",1997-01-07,4157200,16.9062,16.9062,16.625,16.875
013817101,"N     ","AA    ",1997-01-08,5430400,16.875,16.9688,16.6562,16.8438
013817101,"N     ","AA    ",1997-01-09,5675600,16.7812,17.5625,16.7812,17.4062
013817101,"N     ","AA    ",1997-01-10,7697600,17.2188,17.9375,17.2188,17.8125
013817101,"N     ","AA    ",1997-01-13,4355200,17.75,17.75,17.625,17.6875
013817101,"N     ","AA    ",1997-01-14,4078000,17.6875,17.875,17.6562,17.7812
013817101,"N     ","AA    ",1997-01-15,3579200,17.5938,17.9688,17.5938,17.75
013817101,"N     ","AA    ",1997-01-16,3214400,17.8125,18,17.7812,17.9062
013817101,"N     ","AA    ",1997-01-17,5180000,17.875,18.2812,17.875,18.25
013817101,"N     ","AA    ",1997-01-20,2442800,18.1875,18.1875,17.875,18.125
013817101,"N     ","AA    ",1997-01-21,3753600,17.9062,18.0625,17.5312,17.6562
013817101,"N     ","AA    ",1997-01-22,3100800,17.75,17.75,17.125,17.2812
013817101,"N     ","AA    ",1997-01-23,2908800,17.25,17.4688,16.75,16.8125
013817101,"N     ","AA    ",1997-01-24,4206000,16.875,17.25,16.8125,16.9375
013817101,"N     ","AA    ",1997-01-27,3464800,17.0938,17.0938,16.625,16.6562
013817101,"N     ","AA    ",1997-01-28,3682000,17.125,17.3438,16.9688,17
013817101,"N     ","AA    ",1997-01-29,1532400,16.9375,17.1875,16.9375,17.125
013817101,"N     ","AA    ",1997-01-30,2043200,17.125,17.375,17.0625,17.3125
013817101,"N     ","AA    ",1997-01-31,2008000,17.4062,17.5625,17.1875,17.25
013817101,"N     ","AA    ",1997-02-03,2281200,17.25,17.375,17.125,17.2188
013817101,"N     ","AA    ",1997-02-04,1457200,17.125,17.1875,17,17.0625
013817101,"N     ","AA    ",1997-02-05,1649200,17.0625,17.1562,16.7812,16.8125
013817101,"N     ","AA    ",1997-02-06,2600400,16.75,16.8125,16.5,16.6875
013817101,"N     ","AA    ",1997-02-07,3564000,17.3125,17.3125,16.6875,16.9062
013817101,"N     ","AA    ",1997-02-10,1838000,16.875,17,16.6562,16.6562
013817101,"N     ","AA    ",1997-02-11,2287200,16.7188,16.875,16.5938,16.6875
013817101,"N     ","AA    ",1997-02-12,5768800,16.6875,16.875,16.5938,16.75
013817101,"N     ","AA    ",1997-02-13,2581200,16.8125,17,16.6875,16.9062
013817101,"N     ","AA    ",1997-02-14,2488400,17,17.4688,16.9688,17.3125
013817101,"N     ","AA    ",1997-02-18,1839200,17.4688,17.5938,17.375,17.5625
013817101,"N     ","AA    ",1997-02-19,3757600,17.4375,17.9062,17.4375,17.7812
013817101,"N     ","AA    ",1997-02-20,2784400,17.75,17.9688,17.6562,17.7188
013817101,"N     ","AA    ",1997-02-21,3216400,17.75,17.9375,17.6875,17.7812
013817101,"N     ","AA    ",1997-02-24,2261600,17.6562,17.875,17.5938,17.75
013817101,"N     ","AA    ",1997-02-25,1562800,17.7812,17.7812,17.375,17.5
013817101,"N     ","AA    ",1997-02-26,4606000,17.4688,17.5938,17.0625,17.125
013817101,"N     ","AA    ",1997-02-27,1944800,17.1562,17.75,17.1562,17.75
013817101,"N     ","AA    ",1997-02-28,2732800,17.75,17.9688,17.75,17.8125
013817101,"N     ","AA    ",1997-03-03,3247600,17.6562,18.0625,17.5938,18.0625
013817101,"N     ","AA    ",1997-03-04,2570400,18.125,18.25,18.0625,18.0938
013817101,"N     ","AA    ",1997-03-05,2766800,17.9062,17.9375,17.625,17.9375
013817101,"N     ","AA    ",1997-03-06,2262400,17.875,17.9375,17.8125,17.9375
013817101,"N     ","AA    ",1997-03-07,2213200,17.9688,18.1562,17.9375,18.0938
013817101,"N     ","AA    ",1997-03-10,2961600,18.0938,18.7188,18.0625,18.7188
013817101,"N     ","AA    ",1997-03-11,5530000,18.875,19,18.5625,19
013817101,"N     ","AA    ",1997-03-12,3252000,18.875,19.0625,18.6562,18.7812
013817101,"N     ","AA    ",1997-03-13,2019600,18.7188,18.7188,18.3125,18.375
013817101,"N     ","AA    ",1997-03-14,1931200,18.4375,18.8125,18.4062,18.6562
013817101,"N     ","AA    ",1997-03-17,2264400,18.5625,18.9375,18.3438,18.8125
013817101,"N     ","AA    ",1997-03-18,2450400,18.7812,18.7812,18.4062,18.4688
013817101,"N     ","AA    ",1997-03-19,1806000,18.3438,18.4688,18.2188,18.4688
013817101,"N     ","AA    ",1997-03-20,1465200,18.4375,18.4688,18.1875,18.2812
013817101,"N     ","AA    ",1997-03-21,2643200,18.3125,18.3438,18.0312,18.0312
013817101,"N     ","AA    ",1997-03-24,3596000,17.9688,18.0938,17.8125,18
013817101,"N     ","AA    ",1997-03-25,2570800,18.0938,18.0938,17.4688,17.5
013817101,"N     ","AA    ",1997-03-26,2875600,17.5,17.6875,17.4688,17.5938
013817101,"N     ","AA    ",1997-03-27,4027200,17.625,17.7812,17,17.1562
013817101,"N     ","AA    ",1997-03-31,4549200,17.25,17.3125,16.9688,17
013817101,"N     ","AA    ",1997-04-01,4207200,17.0625,17.4688,17.0312,17.25
013817101,"N     ","AA    ",1997-04-02,2164400,17.1562,17.25,17.0312,17.0312
013817101,"N     ","AA    ",1997-04-03,2869600,16.9688,17.1562,16.75,16.875
013817101,"N     ","AA    ",1997-04-04,3992400,16.75,17.0938,16.75,16.9062
013817101,"N     ","AA    ",1997-04-07,3087600,17,17.0625,16.6875,16.6875
013817101,"N     ","AA    ",1997-04-08,2640000,16.7188,16.7188,16.5312,16.625
013817101,"N     ","AA    ",1997-04-09,4686000,16.75,16.7812,16.5312,16.6875
013817101,"N     ","AA    ",1997-04-10,6288800,16.7188,16.9688,16.5938,16.6875
013817101,"N     ","AA    ",1997-04-11,3103600,16.5312,16.625,16.4375,16.4688
013817101,"N     ","AA    ",1997-04-14,3242000,16.5,16.5,16.3125,16.4375
013817101,"N     ","AA    ",1997-04-15,4028800,16.4375,16.8125,16.4062,16.6875
013817101,"N     ","AA    ",1997-04-16,4106000,16.6875,17.25,16.625,17.1562
013817101,"N     ","AA    ",1997-04-17,3114800,17.125,17.2188,16.875,17.0625
013817101,"N     ","AA    ",1997-04-18,1774800,17.0312,17.1562,16.9688,17.0938
013817101,"N     ","AA    ",1997-04-21,1699200,17.1562,17.1562,16.6875,16.8438
013817101,"N     ","AA    ",1997-04-22,2741200,16.8438,17.375,16.7812,17.375
013817101,"N     ","AA    ",1997-04-23,2709200,17.3125,17.4688,17.2188,17.4375
013817101,"N     ","AA    ",1997-04-24,1707200,17.625,17.6875,17.3125,17.4062
013817101,"N     ","AA    ",1997-04-25,1825200,17.4062,17.5312,17.2812,17.375
013817101,"N     ","AA    ",1997-04-28,1765200,17.2812,17.2812,17.0781,17.125
013817101,"N     ","AA    ",1997-04-29,1111600,17.3438,17.5,17.2188,17.4375
013817101,"N     ","AA    ",1997-04-30,3302000,17.4375,17.5938,17.4062,17.4688
013817101,"N     ","AA    ",1997-05-01,1959200,17.4375,17.4375,17.125,17.3125
013817101,"N     ","AA    ",1997-05-02,2680000,17.2812,17.5625,17.2812,17.5625
013817101,"N     ","AA    ",1997-05-05,2823200,17.5625,17.7812,17.375,17.6562
013817101,"N     ","AA    ",1997-05-06,2944800,17.5312,18.1562,17.5312,18.0938
013817101,"N     ","AA    ",1997-05-07,3768000,18.1562,18.3438,17.5312,17.625
013817101,"N     ","AA    ",1997-05-08,3062400,17.7188,18.125,17.6562,17.875
013817101,"N     ","AA    ",1997-05-09,1594800,18.0312,18.0625,17.75,17.8438
013817101,"N     ","AA    ",1997-05-12,2426800,17.8125,18.2812,17.8125,18.2188
013817101,"N     ","AA    ",1997-05-13,3536000,18.2812,18.5312,18.1562,18.375
013817101,"N     ","AA    ",1997-05-14,3071600,18.3438,18.5312,18.0625,18.0938
013817101,"N     ","AA    ",1997-05-15,2280000,18.0938,18.375,18.0312,18.3438
013817101,"N     ","AA    ",1997-05-16,2134400,18.3438,18.4062,18.2188,18.3125
013817101,"N     ","AA    ",1997-05-19,1962400,18.3438,18.5938,18.25,18.4062
013817101,"N     ","AA    ",1997-05-20,2861200,18.25,18.25,17.875,18.1875
013817101,"N     ","AA    ",1997-05-21,1038800,18.1875,18.3438,18,18.0625
013817101,"N     ","AA    ",1997-05-22,1213200,18.0312,18.2188,17.8438,18
013817101,"N     ","AA    ",1997-05-23,1095200,18,18.4688,18,18.4375
013817101,"N     ","AA    ",1997-05-27,2830800,18.375,18.6875,18.125,18.6875
013817101,"N     ","AA    ",1997-05-28,2937200,18.625,18.6562,18.2188,18.375
013817101,"N     ","AA    ",1997-05-29,1716400,18.4375,18.625,18.3438,18.4062
013817101,"N     ","AA    ",1997-05-30,2818000,18.4062,18.5,18.2188,18.4062
013817101,"N     ","AA    ",1997-06-02,2778800,18.4688,18.5312,18.3438,18.375
013817101,"N     ","AA    ",1997-06-03,2607600,18.1562,18.7188,18.1562,18.6562
013817101,"N     ","AA    ",1997-06-04,2238800,18.5625,18.5625,18.375,18.4688
013817101,"N     ","AA    ",1997-06-05,1343200,18.625,18.7227,18.4688,18.625
013817101,"N     ","AA    ",1997-06-06,2515600,18.5,18.7188,18.25,18.6875
013817101,"N     ","AA    ",1997-06-09,3385600,18.5,18.8438,18.2188,18.2188
013817101,"N     ","AA    ",1997-06-10,4164400,18.2812,18.6875,18.25,18.625
013817101,"N     ","AA    ",1997-06-11,3412800,18.6562,19.1562,18.6562,19.1562
013817101,"N     ","AA    ",1997-06-12,4064400,19.1562,19.4375,19,19.4375
013817101,"N     ","AA    ",1997-06-13,4434000,19.8125,19.8125,19.3125,19.4062
013817101,"N     ","AA    ",1997-06-16,1940800,19.4062,19.4688,19.1875,19.2188
013817101,"N     ","AA    ",1997-06-17,2672000,19.0312,19.2812,18.9062,19.125
013817101,"N     ","AA    ",1997-06-18,2440400,18.875,19.2188,18.875,19
013817101,"N     ","AA    ",1997-06-19,2111600,19,19.2812,19,19
013817101,"N     ","AA    ",1997-06-20,3757200,19.1562,19.1719,18.9375,19
013817101,"N     ","AA    ",1997-06-23,2215200,18.9375,19.0625,18.5312,18.5625
013817101,"N     ","AA    ",1997-06-24,2582400,18.625,18.875,18.4531,18.7969
013817101,"N     ","AA    ",1997-06-25,4418400,18.75,19.1562,18.5625,18.5938
013817101,"N     ","AA    ",1997-06-26,3740800,18.5625,18.875,18.5625,18.8438
013817101,"N     ","AA    ",1997-06-27,2106400,18.9688,19,18.7812,19
013817101,"N     ","AA    ",1997-06-30,2419200,19.125,19.3438,18.8438,18.8438
013817101,"N     ","AA    ",1997-07-01,2499600,18.9062,19.5,18.9062,19.0938
013817101,"N     ","AA    ",1997-07-02,4188400,18.875,19.5625,18.7812,19.5625
013817101,"N     ","AA    ",1997-07-03,2088000,19.3125,19.3594,19.125,19.25
013817101,"N     ","AA    ",1997-07-07,3462000,19.1875,19.625,18.9688,19.5625
013817101,"N     ","AA    ",1997-07-08,2975600,19.5,20.1094,19.375,19.9531
013817101,"N     ","AA    ",1997-07-09,2168400,19.9062,20,19.375,19.4688
013817101,"N     ","AA    ",1997-07-10,1821200,19.4844,19.6875,19.375,19.4531
013817101,"N     ","AA    ",1997-07-11,2524000,19.4375,19.4844,19.2656,19.2812
013817101,"N     ","AA    ",1997-07-14,2249200,19.25,19.4531,19.1875,19.3906
013817101,"N     ","AA    ",1997-07-15,2908400,19.4688,20,19.4688,19.9062
013817101,"N     ","AA    ",1997-07-16,2777200,19.875,20.3125,19.8438,20.2344
013817101,"N     ","AA    ",1997-07-17,3521600,20.2188,20.75,20.1562,20.6094
013817101,"N     ","AA    ",1997-07-18,3887200,20.8125,20.8125,20.2031,20.2656
013817101,"N     ","AA    ",1997-07-21,1603200,20.2812,20.5,20.1562,20.2188
013817101,"N     ","AA    ",1997-07-22,3480000,20.25,20.9219,20.25,20.8125
013817101,"N     ","AA    ",1997-07-23,3120800,20.7656,21.3438,20.7656,21.25
013817101,"N     ","AA    ",1997-07-24,2549600,21.25,21.25,20.9062,21
013817101,"N     ","AA    ",1997-07-25,1762800,20.9375,21.2031,20.9375,21.0781
013817101,"N     ","AA    ",1997-07-28,3304000,21.0156,21.7969,21,21.5781
013817101,"N     ","AA    ",1997-07-29,2472000,21.375,21.5938,21.2812,21.5156
013817101,"N     ","AA    ",1997-07-30,3415200,21.75,22.375,21.75,21.9844
013817101,"N     ","AA    ",1997-07-31,3099600,22,22.3125,22,22.125
013817101,"N     ","AA    ",1997-08-01,2488800,22.0312,22.2031,21.7188,21.875
013817101,"N     ","AA    ",1997-08-04,2144800,21.9688,22.1875,21.75,21.8125
013817101,"N     ","AA    ",1997-08-05,2041600,21.7969,22.1094,21.7344,22
013817101,"N     ","AA    ",1997-08-06,1806000,21.875,22,21.8125,21.9844
013817101,"N     ","AA    ",1997-08-07,2306000,22.0625,22.4062,22.0625,22.1875
013817101,"N     ","AA    ",1997-08-08,2312400,21.875,22.1406,21.625,21.6719
013817101,"N     ","AA    ",1997-08-11,2760000,21.5312,21.6562,21.3438,21.4531
013817101,"N     ","AA    ",1997-08-12,1840400,21.4531,21.5,21.2188,21.25
013817101,"N     ","AA    ",1997-08-13,3459200,21.25,21.4219,20.5,21.125
013817101,"N     ","AA    ",1997-08-14,2510400,21.1875,21.2188,20.7656,20.9531
013817101,"N     ","AA    ",1997-08-15,1967200,20.6719,20.75,20.4062,20.4062
013817101,"N     ","AA    ",1997-08-18,3912800,20.3906,20.9688,20.3281,20.9219
013817101,"N     ","AA    ",1997-08-19,3371200,20.9219,21.25,20.875,21.25
013817101,"N     ","AA    ",1997-08-20,1932000,21.1875,21.375,21.0781,21.2656
013817101,"N     ","AA    ",1997-08-21,2578000,21.2812,21.7188,21.2031,21.2188
013817101,"N     ","AA    ",1997-08-22,3053200,20.625,21.2031,20.625,21.2031
013817101,"N     ","AA    ",1997-08-25,2461600,21.2031,21.6406,21.1719,21.6094
013817101,"N     ","AA    ",1997-08-26,2319200,21.3594,21.4844,21.125,21.4375
013817101,"N     ","AA    ",1997-08-27,2194800,21.375,21.3906,20.8906,20.9844
013817101,"N     ","AA    ",1997-08-28,1812400,20.8594,21.25,20.8281,21.039
013817101,"N     ","AA    ",1997-08-29,1530000,20.9062,21,20.5625,20.5625
013817101,"N     ","AA    ",1997-09-02,2658000,20.5625,21.3281,20.5312,21.2969
013817101,"N     ","AA    ",1997-09-03,1756800,21.2656,21.2812,20.9688,21
013817101,"N     ","AA    ",1997-09-04,1252800,20.9688,20.9844,20.7656,20.8438
013817101,"N     ","AA    ",1997-09-05,1802800,21.1875,21.1875,20.7656,20.875
013817101,"N     ","AA    ",1997-09-08,1795200,20.8438,21.0312,20.5156,20.5156
013817101,"N     ","AA    ",1997-09-09,1550800,20.5,20.7344,20.5,20.6562
013817101,"N     ","AA    ",1997-09-10,2071600,20.625,20.6719,20.25,20.3125
013817101,"N     ","AA    ",1997-09-11,4966400,20,20.2188,19.75,20.0156
013817101,"N     ","AA    ",1997-09-12,3883200,20.0469,20.25,19.625,19.6562
013817101,"N     ","AA    ",1997-09-15,3062800,19.7812,20.1875,19.7812,20.0312
013817101,"N     ","AA    ",1997-09-16,2338800,20.0938,20.6094,20.0938,20.5938
013817101,"N     ","AA    ",1997-09-17,1230000,20.5312,20.5625,20.125,20.2812
013817101,"N     ","AA    ",1997-09-18,2288800,20.3125,21.1875,20.3125,20.7031
013817101,"N     ","AA    ",1997-09-19,1935200,20.75,20.9219,20.5938,20.7656
013817101,"N     ","AA    ",1997-09-22,1864800,20.75,20.7656,20.25,20.5312
013817101,"N     ","AA    ",1997-09-23,1649200,20.5469,20.6719,20.3281,20.5312
013817101,"N     ","AA    ",1997-09-24,1424400,20.4688,20.5938,20.125,20.1719
013817101,"N     ","AA    ",1997-09-25,1800400,20.2344,20.3906,20.0625,20.1719
013817101,"N     ","AA    ",1997-09-26,3137600,20.1875,20.3125,19.875,20.0781
013817101,"N     ","AA    ",1997-09-29,2211600,20.0625,20.625,20.0625,20.4688
013817101,"N     ","AA    ",1997-09-30,2352000,20.5312,20.6719,20.4219,20.5
013817101,"N     ","AA    ",1997-10-01,3131200,20.75,20.9844,20.6406,20.7188
013817101,"N     ","AA    ",1997-10-02,1797200,20.625,20.7812,20.5,20.7344
013817101,"N     ","AA    ",1997-10-03,4046800,20.6406,20.7188,20.1094,20.3438
013817101,"N     ","AA    ",1997-10-06,4951600,20.4062,20.4375,19.875,20.1875
013817101,"N     ","AA    ",1997-10-07,2379200,20.3125,20.5938,20.3125,20.5312
013817101,"N     ","AA    ",1997-10-08,2270000,20.5312,20.5312,19.9844,20.0469
013817101,"N     ","AA    ",1997-10-09,2705200,19.9844,20.0469,19.625,19.7656
013817101,"N     ","AA    ",1997-10-10,2108400,19.5312,19.9531,19.5312,19.9219
013817101,"N     ","AA    ",1997-10-13,1549200,19.9375,20.2188,19.8594,20.1406
013817101,"N     ","AA    ",1997-10-14,2073600,20.3125,20.3438,20.0625,20.25
013817101,"N     ","AA    ",1997-10-15,1298000,20.1875,20.2812,20.0781,20.1094
013817101,"N     ","AA    ",1997-10-16,1905200,20.0781,20.1875,19.8438,19.8906
013817101,"N     ","AA    ",1997-10-17,3824800,19.8281,19.9844,19.6406,19.8281
013817101,"N     ","AA    ",1997-10-20,1504800,19.7656,20.0625,19.75,19.9062
013817101,"N     ","AA    ",1997-10-21,3095200,19.9062,20.1562,19.8906,20
013817101,"N     ","AA    ",1997-10-22,2874400,20,20.25,19.9375,20.1875
013817101,"N     ","AA    ",1997-10-23,6272800,19.75,19.875,19.25,19.3125
013817101,"N     ","AA    ",1997-10-24,5758800,19.5,19.5469,19.0156,19.1094
013817101,"N     ","AA    ",1997-10-27,7414000,18.75,18.7812,17.25,17.25
013817101,"N     ","AA    ",1997-10-28,7987200,16.875,17.4844,16.7812,17.4688
013817101,"N     ","AA    ",1997-10-29,8739600,18.25,18.6094,17.8281,17.8594
013817101,"N     ","AA    ",1997-10-30,6594400,17.75,18.4375,17.6406,18.0156
013817101,"N     ","AA    ",1997-10-31,4372400,18.1875,18.3125,18.0156,18.25
013817101,"N     ","AA    ",1997-11-03,4514000,18.5,18.5625,18.25,18.5
013817101,"N     ","AA    ",1997-11-04,3193200,18.5156,18.7344,18.2031,18.2188
013817101,"N     ","AA    ",1997-11-05,3260400,18.25,18.5312,18.25,18.5
013817101,"N     ","AA    ",1997-11-06,3652000,18.4688,18.4688,18,18.0625
013817101,"N     ","AA    ",1997-11-07,4263200,17.7812,17.9688,17.3438,17.5312
013817101,"N     ","AA    ",1997-11-10,3077600,17.6562,17.7969,17.4062,17.5
013817101,"N     ","AA    ",1997-11-11,2288400,17.5,17.6562,17.2344,17.25
013817101,"N     ","AA    ",1997-11-12,4537600,17.0312,17.0781,16.5,16.5156
013817101,"N     ","AA    ",1997-11-13,4246400,16.75,17.1562,16.6562,17.0156
013817101,"N     ","AA    ",1997-11-14,2597200,17.0312,17.5156,17,17.5
013817101,"N     ","AA    ",1997-11-17,2848000,17.5625,17.6406,17.1719,17.25
013817101,"N     ","AA    ",1997-11-18,2892800,17.375,17.4375,17.2969,17.3125
013817101,"N     ","AA    ",1997-11-19,1622000,17.3125,17.4844,17.2812,17.2812
013817101,"N     ","AA    ",1997-11-20,2584800,17.3438,17.6562,17.3438,17.5781
013817101,"N     ","AA    ",1997-11-21,2122800,17.75,17.75,17.3438,17.4375
013817101,"N     ","AA    ",1997-11-24,2866800,17.4375,17.4375,17.2344,17.25
013817101,"N     ","AA    ",1997-11-25,3570800,17.4688,17.4844,17,17.0469
013817101,"N     ","AA    ",1997-11-26,5184000,17.2188,17.2188,16.6875,16.8125
013817101,"N     ","AA    ",1997-11-28,1264000,16.875,16.875,16.7188,16.8125
013817101,"N     ","AA    ",1997-12-01,4703200,16.75,16.8438,16.5625,16.7656
013817101,"N     ","AA    ",1997-12-02,4272000,16.7656,17.1875,16.75,17.0312
013817101,"N     ","AA    ",1997-12-03,2979600,17.0312,17.2344,17.0312,17.0938
013817101,"N     ","AA    ",1997-12-04,3203600,17.125,17.4219,17.0938,17.3281
013817101,"N     ","AA    ",1997-12-05,2430400,17.3125,17.6406,17.2969,17.4531
013817101,"N     ","AA    ",1997-12-08,1627200,17.5156,17.7656,17.5156,17.625
013817101,"N     ","AA    ",1997-12-09,3320400,17.75,18.0625,17.75,17.7812
013817101,"N     ","AA    ",1997-12-10,6800400,18,18.2188,17.6562,17.875
013817101,"N     ","AA    ",1997-12-11,5229200,17.625,17.6562,17.125,17.2344
013817101,"N     ","AA    ",1997-12-12,3010400,17.2344,17.3438,16.7656,16.9375
013817101,"N     ","AA    ",1997-12-15,2934000,17,17.375,17,17.3438
013817101,"N     ","AA    ",1997-12-16,2872000,17.4375,17.625,17.3906,17.4219
013817101,"N     ","AA    ",1997-12-17,3491600,17.625,17.9688,17.5156,17.9688
013817101,"N     ","AA    ",1997-12-18,2826000,17.8438,17.8438,17.375,17.5938
